"Tahun","Bulan","Tanggal_1","T07"," T13 "," T18 "," Trata_rata "," Tmax"," Tmin "," CH"," LPM "," Cuaca_Khusus "," QFE "," RH07 "," RH13"," RH18"," Rhrata_rata "," ffrata_rata "," arah_terbanyak "," dd "," ffmax "," arah "," ddmax "
"2021","1","2","25.4","31.2","26","27","32.2","25","7","31.25","TS","1009.2","95.022","69.854","93.477","88.344","6","W","270","10","190","W"
"2021","1","3","25.8","32","26","27.4","32.8","24.7","34","73.75","TS","1008.4","92.641","63.623","96.714","86.405","7","SE","135","11","130","SE"
